1645091622.59465,22.33,20.00,20.56,20.99,20.68,18.95,19.52,19.82,
1645091622.6947136,22.38,20.08,20.51,20.95,20.64,18.87,19.38,20.21,
1645091622.8047764,22.29,19.98,20.54,20.88,20.72,18.87,19.42,20.04,
1645091622.9047773,22.33,19.94,20.49,21.01,20.74,18.81,19.40,19.94,
1645091623.0147815,22.21,19.96,20.43,20.88,20.64,18.95,19.34,19.98,
1645091623.1247716,22.44,19.96,20.54,20.88,20.72,18.87,19.44,20.02,
1645091623.234766,22.44,20.04,20.51,21.01,20.62,18.87,19.54,20.17,
1645091623.3447692,22.33,20.00,20.47,20.82,20.68,18.81,19.28,19.98,
1645091623.4447699,22.42,20.08,20.51,20.95,20.58,18.81,19.40,20.04,
1645091623.5547848,22.40,20.00,20.41,21.05,20.62,18.95,19.42,19.96,
1645091623.6646492,22.33,20.02,20.45,21.01,20.72,18.75,19.52,20.25,
1645091623.764651,22.38,19.89,20.51,21.01,20.54,18.69,19.48,19.96,
1645091623.864651,22.29,19.94,20.60,20.88,20.64,18.87,19.30,19.88,
1645091623.9746954,22.40,20.06,20.49,21.01,20.58,18.87,19.40,19.86,
1645091624.0747647,22.37,20.00,20.53,20.95,20.58,18.81,19.40,19.90,
1645091624.1847742,22.25,19.96,20.43,20.93,20.62,18.87,19.34,19.94,
1645091624.294774,22.38,20.04,20.45,20.90,20.62,18.81,19.32,20.29,
1645091624.4047127,22.37,20.00,20.39,20.95,20.74,18.87,19.40,20.02,
1645091624.5047867,22.44,20.04,20.54,21.01,20.68,18.87,19.25,20.14,
1645091624.6147254,22.29,19.96,20.58,20.95,20.78,18.95,19.36,19.94,
1645091624.72465,22.29,19.94,20.47,20.99,20.68,18.87,19.42,20.08,
1645091624.8247683,22.37,19.96,20.45,20.99,20.62,18.81,19.38,20.19,
1645091624.9347615,22.33,20.02,20.49,20.93,20.78,18.81,19.54,19.98,
1645091625.0447617,22.27,20.02,20.56,20.91,20.68,18.87,19.48,20.02,
1645091625.1546626,22.40,19.91,20.54,20.93,20.68,18.95,19.32,20.02,
1645091625.2547772,22.27,19.94,20.51,20.88,20.72,18.81,19.42,20.21,
1645091625.364774,22.42,19.96,20.45,20.95,20.68,18.81,19.34,20.08,
1645091625.474705,22.42,20.00,20.41,20.88,20.62,18.81,19.48,19.92,
1645091625.5847714,22.42,20.06,20.41,20.93,20.64,18.87,19.30,20.10,
