nombre_sensor;A;B;C;D;FBG_0;nombre_fibra;x;canal
A1;0.0030664077810875286;-3.265049930417462;-11248.005536009707;+13871840.050624037;0;FBG1;0;1
A2;0.0028601108200846503;-2.8797461903927624;-11111.688625718996;13498793.25954616;0;FBG2;0;1
A3;0.0025802608149162473;-1.0792758051540727;-14782.182628377006;15901634.40967424;0;FBG3;0;1
A4;0.003757831354905325;-5.310949523896693;-10254.196268518694;+14662453.484760255;0;FBG4;0;1
A5;0.00446154686501018;-7.940943293672668;-7311.804824286843;+13798013.263052158;0;FBG5;0;1
A6;0.004463804587374274;-7.932573371940738;-7508.334773415563;+14073210.839451352;0;FBG6;0;1
A7;0.00435996560440256;-7.44768956453235;-8417.563815879254;+14704289.21102088;0;FBG7;0;1
A8;0.002955083957272741;-0.6653599278724885;-19478.38985793035;+20786623.559875336;0;FBG8;0;1
