nombre_sensor;A;B;C;D;FBG_0;nombre_fibra;x;canal
S1;-0.0030201513474233605;3.059061753266674;11749.689106744025;-14321052.899080627;0.;FBG1;0.053;1
S2;-0.005500287622731453;+6.868058276272238;17475.869381723558;-23115914.591508985;0;FBG2;0.043;1
S3;-0.002962307162350412;3.584344099199934;9867.812556678386;-12878373.31186624;0;FBG3;0.034;1
S4;-0.0014875947259989663;0.0081105543494238;10517.351268285205;-10782540.673612686;0;FBG4;0.022;1
S5;-0.0018151086850303404;3.1776779755186193;3151.1999731557607;-5759291.6387718925;0;FBG5;0.014;1
S6;-0.0009631975012294405;1.4435189785490874;2482.2772642935997;-3727896.2004253757;0;FBG6;0.007;1
S7;-0.004071994154313375;9.412972014205955;52.868170845767835;-7533082.5889431145;0;FBG7;0.002;1
S8;-0.003070505667098067;3.501899576244602;11192.897718552978;-14328030.523524696;0;FBG8;0.0005;1
